Algoritmo,Objetivo,Tempo de processamento,Achou solucao?
Busca em Largura,1,0,True
Busca em Largura,2,0,True
Busca em Largura,3,0,True
Busca em Largura,4,0,True
Busca em Largura,5,0,True
Busca em Largura,6,0,True
Busca em Largura,7,0,True
Busca em Largura,8,0,True
Busca em Largura,9,0,True
Busca em Largura,10,0,True
Busca em Largura,11,0,True
Busca em Largura,12,0,True
Busca em Largura,13,0,True
Busca em Largura,14,507,True
Busca em Largura,15,0,True
Busca em Largura,16,0,True
Busca em Largura,17,0,True
Busca em Largura,18,0,True
Busca em Largura,19,0,True
Busca em Largura,20,0,True
Busca em Largura,21,0,True
Busca em Largura,22,3047,False
Busca em Largura,23,4261,False
Busca em Largura,24,7576,False
Busca em Largura,25,2505,False
Busca em Largura,26,0,False
Busca em Largura,27,0,False
Busca em Largura,28,7008,False
Busca em Largura,29,1166,False
Busca em Largura,30,1609,False
Busca em Largura,31,3359,False
Busca em Largura,32,2575,False
Busca em Largura,33,1961,False
Busca em Largura,34,2510,False
Busca em Largura,35,1963,False
Busca em Largura,36,1640,False
Busca em Largura,37,0,False
Busca em Largura,38,7971,False
Busca em Largura,39,3106,False
Busca em Largura,40,3131,False
Busca em Largura,41,3162,False
Busca em Largura,42,2130,False
Busca em Largura,43,2073,False
Busca em Largura,44,1662,False
Busca em Largura,45,4519,False
Busca em Largura,46,0,False
Busca em Largura,47,0,False
Busca em Largura,48,8001,False
Busca em Largura,49,2357,False
Busca em Largura,50,2227,False
