Algoritmo,Objetivo,Tempo de processamento,Achou solucao?
Busca em Profundidade (m=100),1,0,True
Busca em Profundidade (m=100),2,0,True
Busca em Profundidade (m=100),3,0,True
Busca em Profundidade (m=100),4,0,True
Busca em Profundidade (m=100),5,0,True
Busca em Profundidade (m=100),6,0,True
Busca em Profundidade (m=100),7,0,True
Busca em Profundidade (m=100),8,0,True
Busca em Profundidade (m=100),9,0,True
Busca em Profundidade (m=100),10,0,True
Busca em Profundidade (m=100),11,0,True
Busca em Profundidade (m=100),12,0,True
Busca em Profundidade (m=100),13,0,True
Busca em Profundidade (m=100),14,0,True
Busca em Profundidade (m=100),15,0,True
Busca em Profundidade (m=100),16,0,True
Busca em Profundidade (m=100),17,0,True
Busca em Profundidade (m=100),18,0,True
Busca em Profundidade (m=100),19,0,True
Busca em Profundidade (m=100),20,0,True
Busca em Profundidade (m=100),21,0,True
Busca em Profundidade (m=100),22,0,True
Busca em Profundidade (m=100),23,0,True
Busca em Profundidade (m=100),24,0,True
Busca em Profundidade (m=100),25,0,True
Busca em Profundidade (m=100),26,0,True
Busca em Profundidade (m=100),27,0,True
Busca em Profundidade (m=100),28,0,True
Busca em Profundidade (m=100),29,0,True
Busca em Profundidade (m=100),30,0,True
Busca em Profundidade (m=100),31,0,True
Busca em Profundidade (m=100),32,0,True
Busca em Profundidade (m=100),33,0,True
Busca em Profundidade (m=100),34,0,True
Busca em Profundidade (m=100),35,0,True
Busca em Profundidade (m=100),36,0,True
Busca em Profundidade (m=100),37,0,True
Busca em Profundidade (m=100),38,0,True
Busca em Profundidade (m=100),39,0,True
Busca em Profundidade (m=100),40,0,True
Busca em Profundidade (m=100),41,0,True
Busca em Profundidade (m=100),42,0,True
Busca em Profundidade (m=100),43,0,True
Busca em Profundidade (m=100),44,0,True
Busca em Profundidade (m=100),45,0,True
Busca em Profundidade (m=100),46,0,True
Busca em Profundidade (m=100),47,0,True
Busca em Profundidade (m=100),48,1000,True
Busca em Profundidade (m=100),49,0,True
Busca em Profundidade (m=100),50,0,True
